chunk1,chunk2,value,explanation
bites,bites,5,EQUI
costs,costs,5,EQUI
Bollywood,Bollywood,5,EQUI
cuts,cuts,5,EQUI
as rupee collapse,as rupee crisis,5,EQUI
killing,killing,5,EQUI
Tornadoes,Tornadoes,5,EQUI
rip,hit,5,EQUI
6,5,4,SIMI
through Midwest,U.S. Midwest,4,SPE2
rejects,rejects,5,EQUI
US hacking claims,` groundless ' US hacking accusations,3,SPE2
's new PM,China Premier Li,5,EQUI
New Zealand,New Zealand,5,EQUI
to legalise,to legalise,5,EQUI
gay marriage,same-sex marriage,5,EQUI
set,votes,3,SIMI
East Timor,East Timor,5,EQUI
amid killings,Amid Killings,5,EQUI
martial arts clubs,Martial Arts Schools,5,EQUI
bans,Bans,5,EQUI
at Boston Marathon,of Boston Marathon,5,EQUI
loud booms,two explosions,4,SPE2
election result,election result,5,EQUI
Kenya Supreme Court,Kenya SC,5,EQUI
upholds,upholds,5,EQUI
for Wednesday,for Today,3,SPE2
10 Things,10 Things,5,EQUI
to Know,to Know,5,EQUI
's Hugo Chavez,Venezuelan President Hugo Chavez,5,EQUI
dies,dies,5,EQUI
of cancer,of cancer,5,EQUI
's next chair,as New Central Bank Chief,4,SIMI
US Senate,US Senate,5,EQUI
Yellen,Janet Yellen,5,EQUI
confirms,Confirms,5,EQUI
in India anti-rape protests,in gang-rape protest,4,SPE1
Officer,Indian policeman,4,SPE2
injured,injured,5,EQUI
dies,dies,5,EQUI
US,U.S.,5,EQUI
in Syria,by Syria,5,EQUI
Determine,No Conclusive Evidence,4,REL
Chemical Weapons Use,of Chemical Arms Use,5,EQUI
Nobel Prize winning author Doris Lessing,Nobel laureate Doris Lessing,5,EQUI
dies,dies,5,EQUI
Yellen,Yellen,5,EQUI
as Fed head,'s next chair,4,SPE2
Senate,US Senate,4,SPE2
confirms,confirms,5,EQUI
buried,buried,5,EQUI
Boston bombing suspect,Boston bomb suspect,5,EQUI
in Virginia,in Virginia cemetery,4,SPE2
restored,resumes,5,EQUI
"Internet , phone service",Internet service,4,SPE1
in Syrian capital,in Syria,3,SPE1
Syrian PM,Syrian PM,5,EQUI
Bomb Attack,bomb attack,5,EQUI
Survives,survives,5,EQUI
for Nelson Mandela,for Nelson Mandela,5,EQUI
prays,in prayer and song,3,SPE2
South Africa,South Africa,5,EQUI
At least 38 Morsi supporters,of Morsi supporters,4,SPE1
die,killed,5,EQUI
in clashes,in Egypt clashes,4,SPE2
on iPhone disappointment,after earnings disappointment,3,SIMI
Apple shares,Apple stock,5,EQUI
to lure Gulf investors,to lure investors,4,SPE1
set,seeks,3,SIMI
Egypt,Egypt,5,EQUI
Miss America 2013,Miss America,4,SPE1
Miss New York,Miss New York,5,EQUI
Crowned,is crowned,5,EQUI
at mid-day,at mid-day,5,EQUI
KLCI Futures,KL shares,3,REL
mixed,mixed,5,EQUI
Iranian exiles,At least 47 Iranian exiles,4,SPE2
in Iraq camp,'s Camp Ashraf,4,SPE2
in London,in London,5,EQUI
Helicopter,Helicopter,5,EQUI
crashes,crashes,5,EQUI
China,China,5,EQUI
's new defense zone,'s new defense zone,5,EQUI
Japanese planes,"Japan , S Korean military planes",3,SPE2
flew into,defy,3,SIMI
Janet Yellen,Janet Yellen,5,EQUI
as US Federal Reserve chief,as next Federal Reserve Chair,4,SPE2
US Senate,Senate,4,SPE1
confirms,confirms,5,EQUI
rises,rises,5,EQUI
as Storm Xaver,"as wind , rain",4,SPE1
Death toll,Storm death toll,5,EQUI
batters,batters,5,EQUI
northern Europe,north . Europe,5,EQUI
in Lebanon,in Lebanon,5,EQUI
kidnap,kidnap,5,EQUI
airline pilots,2 Turkish Airlines pilots,3,SPE2
Gunmen,Gunmen,5,EQUI
U.S. drone strike,Pakistan drone strike,2,SIMI
5,up to six,4,SPE1
kills,kills,5,EQUI
push,pushes,5,EQUI
into strategic rebelheld town,on rebel-held town,4,SPE1
Syrian troops,Syrian army,5,EQUI
Thai opposition protesters,Thai protesters,4,SPE1
Bangkok shutdown,Bangkok ` shutdown ',5,EQUI
begin,launch,5,EQUI
on Syria Weapons,on Syria,4,SPE1
France,France,5,EQUI
after U.S.-Russia Deal,US-Russia Deal,5,EQUI
Hails,Welcomes,5,EQUI
About 60,61,4,SPE2
Crushed,dead,5,EQUI
in Ivory Coast Stampede,in Ivory Coast stampede,5,EQUI
Discipline,Discipline,5,EQUI
against student gunman,against student,4,SPE1
thought,thought,5,EQUI
on Benghazi attack,on Benghazi attack,5,EQUI
to testify,to testify,5,EQUI
Clinton,Clinton,5,EQUI
's custom-made wheelchair,'s wheelchair,4,SPE1
English Channel swimmer,Channel swimmer,4,SPE1
Thieves,Thieves,5,EQUI
snatch,steal,5,EQUI
to withdraw,to withdraw,5,EQUI
Kurdish rebels,Kurdish rebels,5,EQUI
from Turkey,from Turkey,5,EQUI
Iranian president,Iranian minister,4,SPE1
for new nuclear talks,for failed nuke talks,3,SIMI
Mandela,Mandela movie,3,REL
Queen,US presidents,3,SIMI
to Nelson Mandela,to Mandela,5,EQUI
pays tribute,pay tribute,5,EQUI
Iraq violence,Iraq violence,5,EQUI
kills,kills,5,EQUI
11,seven,3,SIMI
"US , UK chemical arms claims",chemical weapons,2,REL
Syria,Syria,5,EQUI
Obama,Obama,5,EQUI
jokes,pokes fun at,5,EQUI
' dinner,during press dinner,5,EQUI
21,20,4,SIMI
kill,kill,5,EQUI
in suicide attacks,Car bombs,3,SIMI
in Niger,near Syrian border,2,SIMI
's nuclear plant,into Iran nuclear deal,3,REL
in Pakistan,Pakistani police,2,REL
for March 11,for January 14,2,SIMI
News summary,News summary,5,EQUI
killed,Six dead,4,SIMI
by Indonesia volcano eruption,in Indonesian volcanic eruption,5,EQUI
Indonesia,Indonesia,5,EQUI
gay marriage bill,gay workers bill,4,SIMI
Hawaii,US Senate,2,SIMI
passes,passes,5,EQUI
Singapore stocks,Indian stocks,2,SIMI
0.4 % higher,higher,4,SPE1
close,open,4,OPPO
Say,Say,5,EQUI
"Mar. 12 , 2013","June 25 , 2013",3,SIMI
What,What,5,EQUI
the Papers,the Papers,5,EQUI
end up,close,5,EQUI
Singapore stocks,Singapore stocks,5,EQUI
0.11 pct,0.54 pct higher,3,SPE2
Pakistani girls,Pakistani girl,4,SIMI
of Oscar Pistorius,Oscar Pistorius,5,EQUI
' girlfriend Reeva Steenkamp,Steenkamp,5,EQUI
over Syria,for Syria,5,EQUI
's chemical weapons,'s chemical weapons,5,EQUI
Egypt,Egypt army,3,REL
Ten,Six,3,SIMI
rescued,rescued,5,EQUI
"off Waterford , Dublin coasts",in Dublin Bay,3,SPE2
Senior Pakistani Taliban commander,Pakistan Shi'ites,2,REL
from west Chinas violence,from NE China fire,3,SIMI
Death toll,Death toll,5,EQUI
rises,rises,5,EQUI
to 35,to 112,2,SIMI
South Korean soldiers,to South,2,REL
into North,North Korea,5,EQUI
Mandela family,Mandela family,5,EQUI
meets,to meet,5,EQUI
Obama,Obamas,5,EQUI
in hospital,hospital,5,EQUI
vs,against,5,EQUI
in early trade,in early trade,5,EQUI
8 paise,22 paise,3,SIMI
Rupee,Rupee,5,EQUI
down,up,4,OPPO
dollar,dollar,5,EQUI
open,close,4,OPPO
Indian stocks,Indian stocks,5,EQUI
lower,lower,5,EQUI
Four,Owner,2,SPE2
arrested,arrested,5,EQUI
rises,reaches,5,EQUI
to 352,372,3,SIMI
as Bangladesh building toll,as Bangladesh building toll,5,EQUI
Indian troops,Indian troops,5,EQUI
kill,raid,3,SPE1
Pakistani soldier,Pakistani military post,3,REL
Brazilian leader,Brazil leader,5,EQUI
crisis talks,reform vote,1,REL
US,US House,3,REL
in Iraq,across Iraq,5,EQUI
killed,killed,5,EQUI
in attacks,in attacks,5,EQUI
7,27,2,SIMI
in NW Pakistan,in NW Pakista,5,EQUI
killed,killed,5,EQUI
injured,injured,5,EQUI
12,6,2,SIMI
25,12,2,SIMI
in bomb blast,in blast,4,SPE1
Turkish police,British police,2,SIMI
Syria opposition vote,Syrian opposition,3,REL
peace talks,for talks,4,SPE1
Syria car bomb,Sinai car bomb,2,SIMI
at least 12,at least 10 Egyptian soldiers,2,SPE2
kills,kills,5,EQUI
Bangladesh building collapse death toll,Indian building collapse death toll,4,SPE1
hits,rises,5,EQUI
359,to 72,2,SIMI
in `` insider '' attack,in bomb attack,3,SIMI
killed,killed,5,EQUI
in Afghanistan,in NW Pakistan,3,SIMI
Two U.S. soldiers,8 soldiers,2,SPE1
kills,kills,5,EQUI
10 young girls,nine,2,SIMI
Blast,Blast,5,EQUI
in eastern Afghanistan,in southern Afghanistan,3,SIMI
at sea,at sea,5,EQUI
's chemical weapons,Syria chemical weapon stockpile,4,SPE2
could end up,to destroy,3,SIMI
in Pakistan,in Pakistan,5,EQUI
female politician,5 female teachers,3,SPE2
Gunmen,Gunmen,5,EQUI
kill,kill,5,EQUI
Ready,ready,5,EQUI
China,China,5,EQUI
Dzhokhar Tsarnaev,Dzhokhar Tsarnaev,5,EQUI
not guilty,charged,3,REL
to Boston bombing charges,in Boston Marathon bombing,4,SPE2
P.G. police,Police,4,SPE1
seeking,seek,5,EQUI
Egyptian army,'s Morsi,3,REL
Cryptic crossword,Quiz crossword,5,EQUI
Saturday 27th April,Saturday 27th April,5,EQUI
Angelina Jolie,Angelina Jolie and the complex truth,3,SPE2
of breast cancer,about breast cancer,5,EQUI
from Israeli prison,in Israel jails,4,SIMI
26 Palestinian prisoners,Palestinian prisoner,3,SPE2
Syria regime,Syria army,3,REL
evacuation,mop-up operations,3,SPE1
near Damascus,near Damascus,5,EQUI
Twelve,Five,3,SIMI
killed,Killed,5,EQUI
raid,in Blasts,3,SIMI
"Nicaragua , Venezuela",Bolivia,2,SIMI
asylum,asylum,5,EQUI
to Snowden,to Snowden,5,EQUI
offer,would grant,5,EQUI
after Alabama school bus shooting,in middle school shooting,1,SIMI
5,3,4,SIMI
in Pakistan blast,in Boston blasts,2,SIMI
killed,killed,5,EQUI
injured,injured,5,EQUI
50,138,2,SIMI
to strengthen,to strengthen,5,EQUI
occupied Palestinian territory,occupied Palestinian territory,5,EQUI
Palestinians,Palestinians,5,EQUI
coordinate,coordinated,5,EQUI
on peace talks,on peace talks,5,EQUI
"Palestinians , Jordan",PA,2,REL
kills,kills,5,EQUI
5,at least ten,3,SPE1
in Pakistan,in Pakistan,5,EQUI
to dispute,cop on,3,REL
` Blade Runner ' Pistorius,Pistorius,4,SPE1
president,Former New Mexico Gov. Richardson,3,SPE2
across Egypt,at Cairo,2,SPE2
Four,Student,2,SPE2
in clashes,in clashes,5,EQUI
killed,killed,5,EQUI
Afghan police,"5 Taliban , 5 Afghan police",3,SPE2
kill,killed,5,EQUI
of Its Chemical Weapons Stockpile,Chemical Weapons,3,SIMI
Mixed reactions,legalizes,2,REL
to NZ same-sex marriage,same-sex marriage,5,EQUI
's Shebab,Syrian rebels,2,SIMI
responsibility,responsibility,5,EQUI
claims,claim,5,EQUI
Glasgow Helicopter Crash,Glasgow Helicopter Crash,5,EQUI
India,India,5,EQUI
Braces,red alert,3,REL
for Massive Cyclone,for cyclone Phailin,4,SPE2
Many,Many,5,EQUI
killed,killed,5,EQUI
Singapore shares,Singapore shares,5,EQUI
lower,higher,4,OPPO
open,open,5,EQUI
on Friday,on Thursday,4,SIMI
11 Dead,kill,3,SIMI
Two Earthquakes,Twin quakes,4,SIMI
Northwest China,in China,4,SPE1
Egypt ministry,Egypt,3,REL
to pro-Morsi protests,after pro-Morsi protest,5,EQUI
