chunk1,chunk2,value,explanation
if,If,5,EQUI
the path,in the same path,4,SPE2
the attery,The battery,5,EQUI
is not,is not,5,EQUI
in a closed path,in a closed path,5,EQUI
in a closed path,in the same closed path,4,SPE2
bulbs B and C,Bulb B and Bulb C,5,EQUI
with the battery.,with the battery.,5,EQUI
were,were contained,5,EQUI
still,still,5,EQUI
When,When,5,EQUI
in the same path,in the same path,5,EQUI
the switch the bulb.,the switch and the bulb,5,EQUI
is,are contained,5,EQUI
the path is not closed.,is no closed path,5,EQUI
Terminal 5 to the postive battery terminal,Terminal 5 and the positive terminal,5,EQUI
is connected,are connected,5,EQUI
because of the gap,are not connected,4,REL
is,are,5,EQUI
bulb B and C,bulbs B and C,5,EQUI
still,still,5,EQUI
with the battery.,with the battery,5,EQUI
a closed path,in closed paths,4,SPE1
battery,The battery,5,EQUI
in bulb,in a path,2,REL
is contained,is contained,5,EQUI
there,there,5,EQUI
a closed circuit.,a complete circuit,5,EQUI
must be,is,4,SIMI
are,are,5,EQUI
to the battery,with the battery,5,EQUI
b and c,bulbs B and C,5,EQUI
of complete circuts,in closed paths,4,REL
in a closed path,a closed path,5,EQUI
a positive and negative connections,are not connected,3,REL
a damaged bulb,a damaged bulb,5,EQUI
creates,creates,5,EQUI
a gap,a gap,5,EQUI
causes,creates,5,EQUI
an open switch,the open switch,5,EQUI
a gap.,a gap,5,EQUI
there,There,5,EQUI
by the switch,switch Y and bulb A,2,SPE2
a closed path,no path,4,OPPO
by the switch,both,2,SPE2
not effected,containing,2,SIMI
was,is,4,SIMI
is contained,must be contained,4,SIMI
the other bulb,The damaged bulb and the other bulb,3,SPE1
in a closed path,in the same path,4,SPE2
A closed path,in the same path,4,SPE2
the bulb,the bulb,4,EQUI
enables to be on.,affects,2,SIMI
is,is contained,5,EQUI
the battery,the battery,5,EQUI
in a closed path.,in a path,5,EQUI
are contained,are,5,EQUI
in the same path,in a closed path,4,SPE1
the switch and the bulb,bulbs B and C,2,SPE2
closed paths,in a closed path,4,SPE2
from the battery,the bulb and the battery,3,SPE1
are contained,are,5,EQUI
Bulb A and C,A and C,5,EQUI
in different paths,in different paths,5,EQUI
with the battery.,with the battery,5,EQUI
between the bul and battery terminal.,between the terminals,3,SPE2
is,is,5,EQUI
there,there,5,EQUI
a gap,no gap,4,OPPO
is a gap,are connected,4,OPPO
from the positive battery terminal,in the same electrical state,3,REL
between terminals 1 and 2,Terminals 1 and 2,5,EQUI
Terminal 6 to the posititve battery terminal.,Terminal 6 and the positive terminal,5,EQUI
is connected,are connected,5,EQUI
in the path,in a path,5,EQUI
in the path,in which,5,EQUI
with no lightbulb,no bulb,5,EQUI
no gap,no gap,5,EQUI
there,There,5,EQUI
is,is,5,EQUI
between terminal 4 and the positive terminal,between terminal 4 and the positive terminal,5,EQUI
is contain,was contained,4,SIMI
Bulb A,Bulb A,5,EQUI
in a closed path,in the same closed path,4,SPE2
is,containing,4,SIMI
within its own closed path,a path,3,SPE1
of B and C,containing B and C,5,EQUI
Bulb A,A,5,EQUI
independent,a different path,4,SIMI
Terminal 1 to terminal 2,Terminals 1 and 4,4,SIMI
is connected,are connected,5,EQUI
by a gap,by the gap,5,EQUI
are seperated,are separated,5,EQUI
the positive terminal and terminal 1,Terminal 1 and the positive terminal,5,EQUI
is,are,5,EQUI
still,still,5,EQUI
a closed path,in closed paths,4,SPE1
"the battery, Bulb B, and Bulb C.",bulbs B and C with the battery,5,EQUI
had no gap.,are separated by the gap,4,OPPO
terminal 1,Terminal 1 and the positive terminal,3,SPE1
Terminal 5 and the positive battery terminal,Terminal 5 and the positive terminal,5,EQUI
are in the same state.,are connected,4,REL
to the negative terminal,Terminals 1 and 2,3,REL
connected,are connected,5,EQUI
is not,is,4,OPPO
a complete path,no closed path,4,OPPO
there,there,5,EQUI
both battery terminals,the battery,4,SPE1
involving,containing,5,EQUI
no gap in the circuit.,in a closed path,5,EQUI
terminal 5 to the positive battery terminal.,Terminal 5 and the positive terminal,5,EQUI
is connected,are connected,5,EQUI
its own chemical reacion,a chemical reaction,4,SPE1
between the positive and negative tterminals,at the terminals,3,SPE1
the battery,A battery,5,EQUI
has,uses,4,SIMI
are,are,5,EQUI
bulbs by switches,a bulb and a switch,4,SPE2
bulbs by switches,the switch the bulb,4,SPE2
will be affected,affects,4,SIMI
in the path,in the same path,4,SPE2
is contained,must be contained,4,SIMI
the damaged lightbulb,The damaged bulb and the other bulb,4,SPE1
in the closed circuit,in the same path,4,REL
The bulb and the battery,the battery,3,SPE2
is connected,are connected,5,EQUI
terminal 6 to a positive battery terminal,Terminal 6 and the positive terminal,5,EQUI
still,still,5,EQUI
a connection,in closed paths,4,REL
have,are,2,SIMI
A and C,Bulbs A and C,5,EQUI
to the battery,with the battery,5,EQUI
between the terminals,terminal 1 from the negative battery terminal,3,SPE2
is no gap,is not separated,5,EQUI
of the terminals.,Terminal 1 and the positive terminal,3,SPE2
between the electrical state,by the gap,2,REL
Bulb A and Bulb C,A and C,5,EQUI
are contained,are,5,EQUI
with the battery.,with the battery,5,EQUI
in different paths,in different paths,5,EQUI
between the two terminals,at the terminals,4,SPE1
a difference in electrial states,different electrical states,4,SIMI
Terminal 5 to the positive battery terminal.,Terminal 5 and the positive terminal,5,EQUI
is connected,are connected,5,EQUI
the positive battery terminal from terminal 1,Terminal 1 and the positive terminal,5,EQUI
separates,are separated,5,EQUI
the gap,by the gap,5,EQUI
the path,in its own path,3,SPE2
the energy flow,the path,4,REL
on a cloosed battery,in a closed path with the battery.,5,EQUI
A,Bulb A,5,EQUI
is,is contained,5,EQUI
a battery,A battery,5,EQUI
a voltage,different electrical states,3,REL
an open path,in an open path,5,EQUI
is,is,5,EQUI
on the same path,in the same path,5,EQUI
are,are,5,EQUI
the bulbs,A and C,3,SPE2
is contained,are,5,EQUI
still,still,5,EQUI
"Through bulb A, bulb B",A and B,5,EQUI
to the battery.,with the battery,5,EQUI
in a closed path,in a closed path,5,EQUI
