chunk1,chunk2,value,explanation
in the trough,from a trough,5,EQUI
are eating,are eating,5,EQUI
towards a wooden telephone pole,above the telephone wires,2,SIMI
Two green birds,Two green birds,5,EQUI
fly,flying,5,EQUI
stands,is standing,5,EQUI
in front of a `` Going Places '' bus,in front of the open door,3,SIMI
A young woman,TThe girl,4,SIMI
perched,is perched,5,EQUI
on a gloved hand,'s gloved hand,5,EQUI
A blue bird,A bird,4,SPE1
A baby,A baby,5,EQUI
a ketchup packet,a ketchup packet,5,EQUI
holds,holds,5,EQUI
on the sofa,on the back,4,SPE2
sitting,sit,5,EQUI
looking out,looking out,5,EQUI
the window,the window,5,EQUI
Two cats,Two cats,5,EQUI
standing,standing,5,EQUI
in a field,in a field,5,EQUI
A dark brown horse,Horse,4,SPE1
on a sidewalk,on the sidewalk,5,EQUI
parked,parked,5,EQUI
A blue scooter,A blue moped,4,SPE1
A black and white cat,A black and white cat,5,EQUI
Three people,Two elderly women,3,SPE2
sitting,sit,5,EQUI
at dinner table,at a dinner table,5,EQUI
traveling,is,2,SIMI
on the street,on the street,5,EQUI
A white and red bus,The red bus,4,SPE1
in the water,in the water,5,EQUI
A large black bird,The birds,2,SPE1
is sitting,are swimming,2,SIMI
is sitting,is standing,2,SIMI
on boat,A wooden yacht,4,SPE2
on the water,on the ocean,4,SPE2
The television and desk,A television and a laptop computer,3,SIMI
of hotel room,on in a hotel room,5,EQUI
A woman,A person,4,SPE1
wearing,wearing,5,EQUI
A close-up picture,A close-up picture,5,EQUI
Two women,A woman,4,SIMI
with a baby,with a baby,5,EQUI
posing,poses,5,EQUI
inside a train station,at the train station,5,EQUI
Two trains,The train,4,SIMI
A man and two women,A man and women,4,SPE1
at the camera,at the camera,5,EQUI
while sitting,while standing,2,SIMI
smiling,smiling,5,EQUI
in a bright room,in a living room,3,SIMI
"A television , upholstered chair , and coffee stable",A leather couch and wooden table,1,SIMI
Tan cow,sheep,2,SIMI
on a grassy field,in grassy field,5,EQUI
A close-up,A close-up,5,EQUI
A bay foal,of young horse,4,SPE1
is walking,walking,5,EQUI
next to its mother,next to a larger horse,4,SPE1
A small child,A small child,5,EQUI
in front of a building,in front of a dining room,1,REL
A woman,Two women and a baby,2,SPE2
stands,pose,3,REL
on table,on the table,5,EQUI
sitting,sitting,5,EQUI
Young baby girl,with a smiling baby,3,SIMI
A black and white cow,Black and white cows,4,SIMI
in a pen,behind a fence,3,SIMI
for the camera,at the camera,5,EQUI
standing,sitting,2,SIMI
A black and white horned cow,of a cat,2,SIMI
at a restaurant table,around a table,4,SPE1
of people,of people,5,EQUI
A group,A group,5,EQUI
sitting,sitting,5,EQUI
in a field,in a green field,4,SPE2
is sitting,sitting,4,SIMI
The cat,Two eagles,1,SIMI
is looking up,looking,4,SPE1
at the camera,at the camera,5,EQUI
The black and white cat,A black and white dog,3,SIMI
sitting,sitting,5,EQUI
of a bottle,A bottle,4,SPE2
atop a rock carving,on a stone,3,REL
of the yard,in the field,4,SPE1
sits,standing,2,SIMI
A lone cow,a black and white cow,4,SIMI
A girl,A girl,5,EQUI
in the background,in the background,5,EQUI
standing,stands,5,EQUI
Two brown horses,A brown horse,4,SIMI
in a green meadow,in tall grass,4,SIMI
in the snow,on the snow,5,EQUI
sitting,stand,2,SIMI
A red bird and four other birds,Five birds,4,SPE1
at the dinner table,around a dining table,5,EQUI
poses,pose,5,EQUI
An older Asian couple,A group,3,SPE1
with a pillow,on an animal print blanket,1,SPE2
A cat,The cat,5,EQUI
sleeping,is laying,4,SPE1
driving,driving,5,EQUI
Cars,Vehicles,4,SPE1
near a model building,infant of an ornate building,3,SIMI
A young woman,A man,3,SPE1
a Bay hose,at a horse,4,SPE1
A woman,Four women and two men,2,SPE2
at the dining table,at a long table,4,SPE2
A man,A woman,3,SIMI
a white horse,a white horse,5,EQUI
riding,leading,4,SIMI
laying,laying,5,EQUI
A white cat,A white cat,5,EQUI
Two men,Two women,3,SIMI
standing,standing,5,EQUI
A woman,A man,3,SIMI
a white horse,on a white horse,5,EQUI
a brown horse,brown horse,5,EQUI
riding,riding,5,EQUI
A woman,Person,3,SPE1
A passenger train,A passenger train,5,EQUI
the tracks,on train tracks,5,EQUI
A black train,A long train,4,SIMI
in a living room,in a living room,5,EQUI
Blue couch and twin bed,A leather couch and wooden table,1,SIMI
A white leather couch,A television,2,REL
Two buses,Yellow scooter,2,SIMI
on a street,in an alley way,4,SPE2
parked,parked,5,EQUI
sitting,is sitting,4,SIMI
A woman,A man,3,SIMI
up,up,5,EQUI
a baby,a baby,5,EQUI
above her,above him,3,SIMI
holding,holding,5,EQUI
on the floor,on the floor,5,EQUI
is laying down,is laying,5,EQUI
sleeping,laying,4,SPE1
A black and white cat,A black and white cat,5,EQUI
Two women,Two women,5,EQUI
A yellow and black bird,A flock,2,SPE1
in afield,in a field,5,EQUI
sheep,next to a sheep,5,EQUI
standing,stands,5,EQUI
A black and white photo,A black and white photo,5,EQUI
standing,standing,5,EQUI
Black bird,Blue bird,4,SIMI
Several people,People,5,EQUI
on motorcycles,mopeds,5,EQUI
in a market square,in an urban setting,4,SPE1
Domestic cat,Tan domestic cat,4,SPE2
standing,standing,5,EQUI
looking up,looking up,5,EQUI
at the camera,at the camera,5,EQUI
A small cat,The small dog,2,SIMI
look,looking,5,EQUI
at the camera,at the camera,5,EQUI
Tan cows,A white and gray cat,2,SIMI
